Section,Theme,Kanji,On,Kun,Meanings,Example Use
1,People & basic nouns,人,ジン・ニン,ひと,person people,外国人 (foreigner)
1,People & basic nouns,男,ダン・ナン,おとこ,man male,—
1,People & basic nouns,女,ジョ・ニョ・ニョウ,おんな・め,woman female,—
1,People & basic nouns,子,シ・ス,こ,child,子供 (child)
1,People & basic nouns,友,ユウ,とも,friend,友達 (friend)
1,Time & numbers,一,イチ・イツ,ひと(つ),one,一つ (one thing)
1,Time & numbers,二,ニ・ジ,ふた・ふた(つ),two,二人 (two people)
1,Time & numbers,三,サン,み・み(っつ),three,三月 (March)
1,Time & numbers,四,シ,よ・よ(っつ)・よん,four,四月 (April)
1,Time & numbers,五,ゴ,いつ・いつ(つ),five,五時 (5 o'clock)
1,Time & numbers,六,ロク,む・む(っつ)・むい,six,六本木 (Roppongi)
1,Time & numbers,七,シチ,なな・なな(つ)・なの,seven,七月 (July)
1,Time & numbers,八,ハチ,や・や(っつ)・よう,eight,八月 (August)
1,Time & numbers,九,キュウ・ク,ここの・ここの(つ),nine,九時 (9 o'clock)
1,Time & numbers,十,ジュウ・ジッ,とお・と,ten,十分 (10 minutes)
1,Time & numbers,百,ヒャク・ビャク,,hundred,三百 (300)
1,Time & numbers,千,セン,ち,thousand,千円 (1000 yen)
1,Time & numbers,万,マン・バン,,ten thousand,一万円 (10000 yen)
1,Time & numbers,円,エン,まる(い),yen circle,五百円 (500 yen)
1,Time & numbers,時,ジ,とき,time hour o'clock,何時 (what time)
1,Time & numbers,分,フン・ブン・ブ,わ(ける)・わ(かれる)・わ(かる)・わ(かつ),minute part,三十分 (30 min)
1,Time & numbers,半,ハン,なか(ば),half,三時半 (3:30)
1,Food & drink,食,ショク・ジキ,た(べる)・く(う)・く(らう),eat food,食べ物 (food)
1,Food & drink,飲,イン,の(む),drink,飲み物 (beverage)
1,Food & drink,水,スイ,みず,water,お水 (water)
1,Food & drink,魚,ギョ,うお・さかな,fish,魚料理 (fish dish)
1,Food & drink,肉,ニク,,meat,肉まん (meat bun)
1,Countries & places,日,ニチ・ジツ,ひ・び・か,sun day Japan,日本語 (Japanese lang.)
1,Countries & places,本,ホン,もと,book origin Japan,本を読む (read a book)
1,Countries & places,国,コク,くに,country nation,中国 (China)
1,Countries & places,中,チュウ・ジュウ,なか,inside middle China,中学校 (middle school)
1,Countries & places,外,ガイ・ゲ,そと・ほか・はず(す)・はず(れる),outside foreign,外国人 (foreigner)
1,Countries & places,山,サン,やま,mountain,富士山 (Mt. Fuji)
1,Countries & places,川,セン,かわ,river,川沿い (riverside)
2,Family,父,フ,ちち,father (own),お父さん (dad honorific)
2,Family,母,ボ,はは,mother (own),お母さん (mom honorific)
2,Family,兄,ケイ・キョウ,あに,older brother (own),お兄さん (older bro honorific)
2,Family,姉,シ,あね,older sister (own),お姉さん (older sis honorific)
2,Family,弟,テイ・ダイ・デ,おとうと,younger brother,弟 (younger brother)
2,Family,妹,マイ,いもうと,younger sister,妹 (younger sister)
2,Family,家,カ・ケ,いえ・や,house family home,家族 (family)
2,Family,族,ゾク,,family tribe,家族 (family)
2,Daily life & routine,毎,マイ,,every,毎日 (every day)
2,Daily life & routine,朝,チョウ,あさ,morning,朝ごはん (breakfast)
2,Daily life & routine,昼,チュウ,ひる,noon daytime,昼ごはん (lunch)
2,Daily life & routine,夜,ヤ,よ・よる,night evening,夜ごはん (dinner)
2,Daily life & routine,今,コン・キン,いま,now this,今週 (this week)
2,Daily life & routine,週,シュウ,,week,来週 (next week)
2,Daily life & routine,月,ゲツ・ガツ,つき,moon month Monday,月曜日 (Monday)
2,Daily life & routine,年,ネン,とし,year,今年 (this year)
2,Daily life & routine,曜,ヨウ,,day of the week,曜日 (day of week)
2,Daily life & routine,前,ゼン,まえ,before in front of,午前 (AM)
2,Daily life & routine,後,ゴ・コウ,のち・うし(ろ)・あと・おく(れる),after behind later,午後 (PM)
2,Places & transport,駅,エキ,,train station,東京駅 (Tokyo Station)
2,Places & transport,電,デン,,electricity electric,電車 (train)
2,Places & transport,車,シャ,くるま,car vehicle,電車 (train)
2,Places & transport,道,ドウ・トウ,みち,road way path,道路 (road)
2,Places & transport,右,ウ・ユウ,みぎ,right (direction),右側 (right side)
2,Places & transport,左,サ,ひだり,left (direction),左折 (turn left)
2,Places & transport,上,ジョウ・ショウ,うえ・うわ・かみ・あ(げる)・あ(がる)・のぼ(る),up above on top,以上 (or more)
2,Places & transport,下,カ・ゲ,した・しも・もと・さ(げる)・さ(がる)・くだ(る)・くだ(さる)・お(ろす)・お(りる),down below under,以下 (or less)
2,Places & transport,東,トウ,ひがし,east,東京 (Tokyo)
2,Places & transport,西,セイ・サイ,にし,west,関西 (Kansai)
2,Places & transport,南,ナン・ナ,みなみ,south,南口 (south exit)
2,Places & transport,北,ホク,きた,north,北口 (north exit)
2,Shopping & clothes,大,ダイ・タイ,おお・おお(きい)・おお(いに),big large,大学 (university)
2,Shopping & clothes,小,ショウ,ちい(さい)・こ・お,small little,小学校 (elementary school)
2,Shopping & clothes,白,ハク・ビャク,しろ・しろ(い)・しら,white,白い (white)
2,Shopping & clothes,黒,コク,くろ・くろ(い),black,黒い (black)
2,Shopping & clothes,赤,セキ・シャク,あか・あか(い)・あか(らむ),red,赤ちゃん (baby)
2,Shopping & clothes,青,セイ・ショウ,あお・あお(い),blue green,青い (blue)
2,Work & school,会,カイ・エ,あ(う),meet meeting society,会社 (company)
2,Work & school,社,シャ,やしろ,company shrine,会社 (company)
2,Work & school,学,ガク,まな(ぶ),study learning,学生 (student)
2,Work & school,校,コウ,,school,学校 (school)
2,Work & school,生,セイ・ショウ,い(きる)・う(まれる)・う(む)・お(う)・は(える)・なま・き,life raw student,先生 (teacher)
2,Work & school,先,セン,さき,ahead previous teacher,先生 (teacher)
2,Work & school,行,コウ・ギョウ・アン,い(く)・ゆ(く)・おこな(う),go,どこへ行く？(where going?)
2,Work & school,来,ライ,く(る)・きた(る)・きた(す),come,来週 (next week)
2,Work & school,帰,キ,かえ(る)・かえ(す),return home,帰宅 (return home)
2,Weather,天,テン,あめ・あま,sky heaven weather,天気 (weather)
2,Weather,気,キ・ケ,,spirit air weather feeling,元気 (healthy/fine)
2,Weather,雨,ウ,あめ・あま,rain,雨の日 (rainy day)
2,Weather,雪,セツ,ゆき,snow,大雪 (heavy snow)
2,Weather,風,フウ・フ,かぜ・かざ,wind style,台風 (typhoon)
3,Verbs (past & actions),見,ケン,み(る)・み(える)・み(せる),see look watch,テレビを見る (watch TV)
3,Verbs (past & actions),聞,ブン・モン,き(く)・き(こえる),hear listen ask,音楽を聞く (listen to music)
3,Verbs (past & actions),話,ワ,はな(す)・はなし,speak story talk,電話 (telephone)
3,Verbs (past & actions),読,ドク・トク・トウ,よ(む),read,本を読む (read a book)
3,Verbs (past & actions),書,ショ,か(く),write,手紙を書く (write letter)
3,Verbs (past & actions),買,バイ,か(う),buy,買い物 (shopping)
3,Verbs (past & actions),売,バイ,う(る)・う(れる),sell,売り場 (sales floor)
3,Verbs (past & actions),使,シ,つか(う),use,使い方 (how to use)
3,Verbs (past & actions),作,サク・サ,つく(る),make create,手作り (handmade)
3,Verbs (past & actions),出,シュツ・スイ,で(る)・だ(す),exit go out put out,出口 (exit)
3,Verbs (past & actions),入,ニュウ,はい(る)・い(れる)・い(る),enter put in,入口 (entrance)
3,Verbs (past & actions),着,チャク・ジャク,き(る)・き(せる)・つ(く)・つ(ける),wear (clothes) arrive,着物 (kimono)
3,Verbs (past & actions),起,キ,お(きる)・お(こる)・お(こす),wake up arise,起きる (wake up)
3,Verbs (past & actions),寝,シン,ね(る)・ね(かす),sleep go to bed,寝室 (bedroom)
3,Health & body,頭,トウ・ズ・ト,あたま・かしら,head,頭が痛い (headache)
3,Health & body,目,モク・ボク,め・ま,eye,目薬 (eye drops)
3,Health & body,耳,ジ,みみ,ear,耳鼻科 (ENT clinic)
